pred_score_col,Top-1 Accuracy,Mean Rank Difference,Median Rank Difference,MRR,Top-1 Recall,Top-3 Recall,Top-5 Recall,Top-10 Recall
ptm_L,0.0821917808219178,22.34246575342466,22.0,0.1593649365782259,0.0821917808219178,0.136986301369863,0.2191780821917808,0.3150684931506849
avg_interface_plddt,0.0684931506849315,22.383561643835616,20.0,0.14121891422435737,0.0684931506849315,0.1095890410958904,0.1643835616438356,0.273972602739726
chain_plddt_L,0.0684931506849315,18.972602739726028,17.0,0.15801886531439863,0.0684931506849315,0.1232876712328767,0.2328767123287671,0.3287671232876712
avg_LIS,0.0684931506849315,22.397260273972602,21.0,0.14226195648292328,0.0684931506849315,0.1232876712328767,0.1643835616438356,0.2465753424657534
LIS_HL,0.0547945205479452,23.041095890410958,21.0,0.12902204143210558,0.0547945205479452,0.0821917808219178,0.1506849315068493,0.273972602739726
interface_plddt_AL,0.0547945205479452,22.863013698630137,20.0,0.14550178400912098,0.0547945205479452,0.1232876712328767,0.2054794520547945,0.3150684931506849
avg_internal_pae,0.0547945205479452,22.73972602739726,21.0,0.11843374431263262,0.0547945205479452,0.0684931506849315,0.1095890410958904,0.3013698630136986
chain_pair_iptm_HL,0.0547945205479452,22.698630136986303,21.0,0.12665004409249783,0.0547945205479452,0.0821917808219178,0.1780821917808219,0.273972602739726
chain_pae_L,0.0547945205479452,21.726027397260275,17.0,0.12938810266534748,0.0547945205479452,0.0821917808219178,0.1506849315068493,0.3287671232876712
interface_plddt_HL,0.0410958904109589,22.36986301369863,22.0,0.130501476633878,0.0410958904109589,0.1232876712328767,0.1917808219178082,0.273972602739726
pdockq2,0.0410958904109589,21.972602739726028,22.0,0.11424876740639103,0.0410958904109589,0.0821917808219178,0.1232876712328767,0.2602739726027397
contacts_AL,0.0410958904109589,24.63013698630137,24.0,0.11631503000314247,0.0410958904109589,0.1095890410958904,0.136986301369863,0.2328767123287671
pdockq_HL,0.0410958904109589,21.82191780821918,20.0,0.11982288642620231,0.0410958904109589,0.1095890410958904,0.1506849315068493,0.2328767123287671
pdockq2_AH,0.0410958904109589,23.15068493150685,25.0,0.10792794502260031,0.0410958904109589,0.0684931506849315,0.1095890410958904,0.2328767123287671
chain_plddt_A,0.0410958904109589,20.301369863013697,19.0,0.13147248106647835,0.0410958904109589,0.1095890410958904,0.1643835616438356,0.3150684931506849
scaled_query_RMSD,0.0410958904109589,22.10958904109589,22.0,0.11914641606383289,0.0410958904109589,0.0821917808219178,0.1780821917808219,0.273972602739726
query_avg_RMSD,0.0410958904109589,22.10958904109589,22.0,0.11914641606383289,0.0410958904109589,0.0821917808219178,0.1780821917808219,0.273972602739726
interface_pae_HL,0.0410958904109589,22.65753424657534,23.0,0.11748686137927465,0.0410958904109589,0.0821917808219178,0.1643835616438356,0.2602739726027397
chain_pair_pae_min_HL,0.0410958904109589,23.84931506849315,21.0,0.11574128508750085,0.0410958904109589,0.0821917808219178,0.136986301369863,0.2465753424657534
chain_pae_A,0.0410958904109589,23.0,22.0,0.11032566294550036,0.0410958904109589,0.0410958904109589,0.136986301369863,0.3150684931506849
avg_interface_pae,0.0410958904109589,22.63013698630137,22.0,0.12194559114705211,0.0410958904109589,0.0958904109589041,0.1780821917808219,0.2602739726027397
chain_pair_pae_min_AH,0.0410958904109589,22.534246575342465,22.0,0.12095519079678613,0.0410958904109589,0.0958904109589041,0.1643835616438356,0.2876712328767123
mpdockq_HL,0.0410958904109589,21.82191780821918,20.0,0.11982288642620231,0.0410958904109589,0.1095890410958904,0.1506849315068493,0.2328767123287671
contacts_AH,0.0410958904109589,24.410958904109588,25.0,0.10688211581056206,0.0410958904109589,0.0684931506849315,0.0958904109589041,0.2465753424657534
avg_model_plddt,0.0410958904109589,21.52054794520548,20.0,0.1264874219358364,0.0410958904109589,0.0958904109589041,0.1780821917808219,0.2876712328767123
iptm_L,0.0273972602739726,21.945205479452056,20.0,0.104872020201087,0.0273972602739726,0.0547945205479452,0.1643835616438356,0.2876712328767123
iptm_H,0.0273972602739726,21.986301369863014,21.0,0.11288918777821735,0.0273972602739726,0.0821917808219178,0.1643835616438356,0.2602739726027397
mpdockq_AH,0.0273972602739726,21.273972602739725,18.0,0.1169243411970729,0.0273972602739726,0.1095890410958904,0.1643835616438356,0.273972602739726
pdockq_AL,0.0273972602739726,21.767123287671232,19.0,0.1274464230699191,0.0273972602739726,0.1232876712328767,0.1780821917808219,0.3150684931506849
pTM,0.0273972602739726,21.73972602739726,19.0,0.11981479974446196,0.0273972602739726,0.0958904109589041,0.1917808219178082,0.3150684931506849
del_G_B,0.0273972602739726,26.027397260273972,28.0,0.10301844851723226,0.0273972602739726,0.0958904109589041,0.136986301369863,0.2191780821917808
chain_pair_pae_min_AL,0.0273972602739726,21.73972602739726,22.0,0.10666938356244472,0.0273972602739726,0.0684931506849315,0.136986301369863,0.2876712328767123
interface_pae_AL,0.0273972602739726,22.15068493150685,22.0,0.11600113575670205,0.0273972602739726,0.0958904109589041,0.1643835616438356,0.273972602739726
interface_pae_AH,0.0273972602739726,23.068493150684933,22.0,0.09425523275792143,0.0273972602739726,0.0547945205479452,0.0821917808219178,0.2191780821917808
ranking_score,0.0273972602739726,22.34246575342466,22.0,0.10773311614604944,0.0273972602739726,0.0821917808219178,0.1232876712328767,0.273972602739726
chain_plddt_H,0.0273972602739726,21.671232876712327,18.0,0.1155697835736315,0.0273972602739726,0.0958904109589041,0.1643835616438356,0.273972602739726
ptm_A,0.0273972602739726,21.84931506849315,21.0,0.11961351008177998,0.0273972602739726,0.0821917808219178,0.1917808219178082,0.3561643835616438
chain_pair_iptm_AL,0.0273972602739726,22.698630136986303,20.0,0.11438744539239433,0.0273972602739726,0.0958904109589041,0.1643835616438356,0.273972602739726
LIS_AH,0.0273972602739726,23.835616438356166,23.0,0.1020867386564566,0.0273972602739726,0.0684931506849315,0.1232876712328767,0.2465753424657534
pdockq2_HL,0.0273972602739726,22.54794520547945,20.0,0.11298437024596585,0.0273972602739726,0.0547945205479452,0.1917808219178082,0.2876712328767123
pdockq_AH,0.0273972602739726,21.273972602739725,18.0,0.1169243411970729,0.0273972602739726,0.1095890410958904,0.1643835616438356,0.273972602739726
pdockq2_AL,0.0273972602739726,21.054794520547944,19.0,0.10830544219674243,0.0273972602739726,0.0547945205479452,0.136986301369863,0.3150684931506849
mpdockq_AL,0.0273972602739726,21.767123287671232,19.0,0.1274464230699191,0.0273972602739726,0.1232876712328767,0.1780821917808219,0.3150684931506849
iptm_A,0.0273972602739726,23.17808219178082,22.0,0.10117085516228211,0.0273972602739726,0.0684931506849315,0.1232876712328767,0.2328767123287671
chain_pair_iptm_AH,0.0273972602739726,22.698630136986303,21.0,0.10494377865246711,0.0273972602739726,0.0684931506849315,0.136986301369863,0.273972602739726
